09/21/14--09/27 task schedule,,,,
,,,,
FT：,,,,
更改内容,项目需要的时间（小时）,预计完成日期,实际完成日期,备注
换LOGO,0.5,9月23日,,
导航栏改成2行，每行5个项目,2,9月24日,,
LOGO和导航栏做成浮动模式，一直出现在屏幕页面上方,2,9月25日,,首页还是留学页?
网页设计学习truecar，首页打IPTS 广告,-,-,,"工作表中只要列出具体做什么就行了    
这里的意思是，首页第一屏放轮播图片么？"
首页下面做成下拉式，10个项目做成10个板块,1,9月26日,,
鼠标移到十个项目上会弹出框，框内有文字解析,2,9月26日,,文字解析的弹出方向？
原首页橙色的城市栏加凤凰城和重庆 并做成中英双板,-,-,,具体的样式要给出说明，例如是双拦还是单拦，要怎样对齐
凤凰城加在纽约后面，重庆放在沈阳后,-,-,,
把橙色的城市栏做成浮动框，一直出现在屏幕网页下方,2,9月27日,,说明明具体的改动位置，是首页还是留学页
将10个圆圈图改为十个彩色有字图片（夜景白字）,1,9月23日,9月23日,DONE
当鼠标移动到图片上，图片打上阴影,1,9月23日,9月23日,DONE
与老板讨论10个彩色圆圈图片下面的底色问题,-,-,-,给我结论
会议视频暂时删除,0.5,9月22日,9月22日,DONE
 ,-,-,-,什么意思？
公司联系信息页；信息地址放左 百度地图截图放右,2,9月28日,,给我截图，像素555x209
字体不要用宋体 学习参考苹果,,,,苹果的字体是收费的，请提供具体的字体
,,,,
,,,,
GZ:,项目需要的时间（小时）,预计完成日期,实际完成日期,备注
提供Fernando10个彩色城市夜景白字图片,2,22,22,已发
凤凰城照片,0.1,23,,
10个城市的百度截图,1,23,,
凤凰城和重庆单地址,,,, 
10个城市的两行地址排版,,,,"如
727 Third Avenue, 1st and 2nd Floors
Manhattan, New York, 10017"
浮动logo位置定义,,,,
首页广告定义,,,,
中英双版排版定义,,,,
10个按钮弹出框方向定义,,,,根据和老板的再讨论，请先全部做成向下弹的模式，看看效果 谢谢
留学页面，圆圈栏和地图栏的底色分别是什么,,,,
定义live chat,,,,
地图截图,,,,
找一个免费的，看起来ok的字体给我（woff/ttf/svg格式）,,,,
